© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
IL32	1.975	1.975	1.975	1.975	1.975	1.975	1.975	1.975
KITLG	1.972	1.972	1.972	1.972	1.972	1.972	1.972	1.972
CpG ODN 1668	1.972	1.972	1.972	1.972	1.972	1.972	1.972	1.972
ZC3H12A	-1.972	-1.972	-1.972	-1.972	-1.972	-1.972	-1.972	-1.972
concanavalin a	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97
FGF19	1.969	1.969	1.969	1.969	1.969	1.969	1.969	1.969
CXCR4	1.969	1.969	1.969	1.969	1.969	1.969	1.969	1.969
lysophosphatidylcholine	1.969	1.969	1.969	1.969	1.969	1.969	1.969	1.969
ST14	1.963	1.963	1.963	1.963	1.963	1.963	1.963	1.963
JNK	2.053	2.053	1.986	1.809	2.053	2.053	1.809	1.809
miR-155-5p (miRNAs w/seed UAAUGCU)	-1.953	-1.953	-1.953	-1.953	-1.953	-1.953	-1.953	-1.953
JUNB	1.951	1.951	1.951	1.951	1.951	1.951	1.951	1.951
IL1R1	1.951	1.951	1.951	1.951	1.951	1.951	1.951	1.951
RIGI	1.982	1.982	1.982	1.982	1.982	1.982	1.982	1.715
Z-LLL-CHO	-2.011	-2.011	-1.752	-2.011	-2.011	-2.011	-2.011	-1.752
FcER1	1.945	1.945	1.945	1.945	1.945	1.945	1.945	1.945
CCN1	1.945	1.945	1.945	1.945	1.945	1.945	1.945	1.945
IFNB1	-1.945	-1.945	-1.945	-1.945	-1.945	-1.945	-1.945	-1.945
NR1H	-1.729	-1.729	-2.147	-2.147	-1.729	-1.729	-2.147	-2.147
RIPK3	1.936	1.936	1.936	1.936	1.936	1.936	1.936	1.936
BSG	1.934	1.934	1.934	1.934	1.934	1.934	1.934	1.934
enterotoxin B	1.929	1.929	1.929	1.929	1.929	1.929	1.929	1.929
IL22	1.926	1.926	1.926	1.926	1.926	1.926	1.926	1.926
5-hydroxytryptamine	1.776	1.776	1.964	2.18	1.473	1.776	2.18	2.18
