© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
MAVS	1.667	1.342	1.078	N/A	1.941	1.704	1.442	1.391
AKT1	1.372	0.447	1.0	1.342	2.055	1.825	1.869	0.655
curcumin	0.621	0.274	-0.175	-1.186	-2.575	-2.573	-2.183	-0.974
WTAP	-1.697	N/A	-1.969	N/A	-1.722	-1.722	-1.722	-1.697
PGR	2.17	0.923	2.121	1.342	0.159	0.269	1.702	1.816
enterotoxin B	1.948	N/A	N/A	N/A	2.189	2.189	2.189	1.948
doxorubicin	0.832	0.692	0.203	-0.045	2.603	2.719	2.141	1.228
MAPK8	1.498	1.131	1.432	1.98	2.2	2.2	N/A	N/A
CEBPA	1.48	1.066	0.447	0.587	1.739	1.949	2.177	0.956
NR3C2	0.418	-1.253	0.314	1.123	2.506	2.099	1.849	0.831
kainic acid	N/A	N/A	1.99	1.99	2.209	2.209	1.987	N/A
BHLHE40	0.849	N/A	N/A	N/A	2.433	2.433	2.425	2.213
cycloheximide	2.338	1.929	1.48	0.543	0.68	0.68	0.923	1.775
NPM1	-0.066	-0.066	-0.066	0.669	3.176	2.327	2.333	1.633
IL10RA	-1.414	-1.342	-1.0	-2.236	1.897	1.0	1.414	N/A
LH	1.171	1.698	0.728	0.784	1.981	1.964	1.977	N/A
EPAS1	0.572	0.259	N/A	N/A	2.614	2.614	2.208	2.005
salirasib	1.195	0.555	0.152	N/A	-2.828	-2.449	-2.449	-0.64
RAF1	1.206	0.762	N/A	N/A	1.951	1.951	2.19	2.19
NOD2	1.949	N/A	1.98	1.98	2.17	2.17	N/A	N/A
TGFB2	-2.4	-1.81	-0.585	N/A	2.855	2.166	N/A	-0.42
ATF4	0.52	0.6	N/A	N/A	2.596	2.596	2.191	1.715
8-bromo-cAMP	-0.871	-0.6	-0.509	-0.6	2.764	2.109	1.734	1.024
CD36	-0.115	-0.391	0.152	1.067	2.592	2.4	1.969	1.501
cyclic AMP	1.23	0.816	1.0	1.387	1.521	1.851	1.362	1.016
S100A9	1.673	1.0	N/A	N/A	1.914	2.186	1.951	1.406
trinitrobenzenesulfonic acid	-0.718	-0.935	0.0	0.28	2.617	2.418	2.202	0.955
lysophosphatidic acid	0.59	-0.036	N/A	1.983	2.383	2.177	1.953	0.989
MRTFA	-2.369	-2.361	N/A	N/A	3.193	2.15	N/A	N/A
VCAN	-0.781	-1.265	-1.633	-0.447	-1.688	-1.075	-1.154	-2.03
sphingosine-1-phosphate	-1.081	-2.104	-1.921	-1.254	1.706	1.143	0.859	N/A
ascorbic acid	-2.591	-1.948	N/A	N/A	-1.087	-1.424	-1.214	-1.794
IGF1	0.771	0.94	0.972	1.979	1.99	1.665	1.459	0.243
SU6656	-1.0	-1.0	N/A	N/A	-2.0	-2.0	-2.0	-2.0
KDM3A	0.689	0.689	N/A	N/A	2.407	2.213	1.982	1.982
IL15	0.22	N/A	N/A	1.555	2.087	2.087	2.1	1.906
FAS	2.643	1.774	1.774	0.488	-1.747	-1.313	-0.113	0.089
