© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Melatonin Signaling	1.8E00	6.76E-02	NaN	CAMK2A,CAMK2B,PLCG2,PLCL1,PRKCB	
Neurotransmitter clearance	1.8E00	2E-01	NaN	MAOA,SLC22A1	
Axonal Guidance Signaling	1.8E00	3.48E-02	NaN	ADAM7,BMP7,DCC,DPYSL5,EPHA7,FZD3,KALRN,MMP1,MMP12,MMP3,MYL2,NFATC2,NTNG1,NTRK3,PLCG2,PLCL1,PRKCB,UNC5D	
Digestion	1.8E00	1.11E-01	NaN	CHIT1,LIPF,SI	
Gene Silencing by RNA	1.79E00	5.88E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
IL-33 Signaling Pathway	1.79E00	4.62E-02	NaN	CREB5,H2BC15,H2BC26,IL1RL1,IL36B,IL36G,IL36RN,MMP12,PLCG2	
Cohesin Chromatin Regulation Pathway	1.78E00	4.18E-02	NaN	CCNB3,H2AC25,H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5,HNF4A,PCDH11X,PCDH15	
nNOS Signaling in Neurons	1.76E00	8E-02	NaN	CAMK2A,GRIN2A,GRIN2B,PRKCB	
DNA Replication Pre-Initiation	1.75E00	5.77E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Regulation of endogenous retroelements	1.75E00	5.77E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Synaptic Long Term Depression	1.75E00	4.55E-02	NaN	GRIA4,GRID2,GRM4,GRM7,PLCG2,PLCL1,PRKCB,PRKG2,RYR1	
Acetylcholine Receptor Signaling Pathway	1.75E00	4.55E-02	NaN	CAMK2A,CAMK2B,CHRM2,CHRM3,CHRM5,CREB5,PLCG2,PLCL1,PRKCB	
Cargo recognition for clathrin-mediated endocytosis	1.74E00	5.71E-02	NaN	CHRM2,HBEGF,LRP2,SYT11,TACR1,TGFA	
TNFs bind their physiological receptors	1.71E00	1.03E-01	NaN	TNFRSF9,TNFSF15,TNFSF8	
VDR/RXR Activation	1.71E00	6.41E-02	NaN	CALB1,IGFBP5,IL12A,IL1RL1,PRKCB	
Adrenomedullin signaling pathway	1.7E00	4.46E-02	NaN	IL36B,IL36G,IL36RN,KCNN3,MAPK4,PLCG2,PLCL1,PPARG,PRKG2	
BBSome Signaling Pathway	1.69E00	3.45E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CCR7,CCT6B,CHRM2,CHRM3,CHRM5,FZD3,GPR179,GRM4,GRM7,HTR2C,P2RY14,TACR1	
PPAR Signaling	1.68E00	5.56E-02	NaN	IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,PPARG	
GABAergic Receptor Signaling Pathway (Enhanced)	1.66E00	5E-02	NaN	CNTNAP2,GABRA2,GABRB2,GABRG1,GRIN2A,GRIN2B,NRXN1	
Ephrin A Signaling	1.66E00	5E-02	NaN	EPHA7,HCK,MYL2,PLCG2,PRKG2,TGFA,VAV3	
Chemokine Signaling	1.65E00	6.17E-02	NaN	CAMK2A,CAMK2B,MYL2,PLCG2,PRKCB	
Transcriptional regulation of brown and beige adipocyte differentiation	1.64E00	9.68E-02	NaN	BMP7,DIO2,PPARG	
Role of Cytokines in Mediating Communication between Immune Cells	1.63E00	7.27E-02	NaN	IL12A,IL36B,IL36G,IL36RN	
Insulin Secretion Signaling Pathway	1.61E00	3.94E-02	NaN	ABCC9,CAMK2A,CAMK2B,CHRM3,CREB5,HCK,PLCG2,PLCL1,PRKCB,RYR1,STAT4	
HIF1α Signaling	1.6E00	4.29E-02	NaN	CAMK2A,CAMK2B,FLT1,MMP1,MMP12,MMP3,PLCG2,PRKCB,TGFA	
Neurexins and neuroligins	1.58E00	7.02E-02	NaN	DLGAP1,GRIN2A,GRIN2B,NRXN1	
Trafficking and processing of endosomal TLR	1.58E00	1.54E-01	NaN	CTSS,TLR8	
Activation of NMDA receptors and postsynaptic events	1.57E00	5.88E-02	NaN	CAMK2A,CAMK2B,GRIA4,GRIN2A,GRIN2B	
Activation of Matrix Metalloproteinases	1.56E00	9.09E-02	NaN	KLKB1,MMP1,MMP3	
Sleep NREM Signaling Pathway	1.55E00	5.17E-02	NaN	CAMK2A,CAMK2B,CREB5,GABRA2,GABRB2,GABRG1	
