© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Sonic Hedgehog Signaling	3.16E00	1.61E-01	NaN	CCNB1,CCNB2,CDK1,GLI2,HHIP	
Chromatin modifications during the maternal to zygotic transition (MZT)	3.1E00	1.56E-01	NaN	H2AX,H2AZ2,H2BC13,H2BC17,UHRF1	
Nonhomologous End-Joining (NHEJ)	3.03E00	1.22E-01	NaN	BARD1,BRCA1,H2AX,H2BC13,H2BC17,NSD2	
Oncogene Induced Senescence	2.91E00	1.43E-01	NaN	CDKN2C,CDKN2D,E2F1,E2F2,ETS2	
B-WICH complex positively regulates rRNA expression	2.9E00	1.15E-01	NaN	DEK,H2AX,H2AZ2,H2BC13,H2BC17,POLR1G	
Basal Cell Carcinoma Signaling	2.88E00	9.86E-02	NaN	FZD8,GLI2,HHIP,LEF1,WNT3,WNT5B,WNT7B	
MITF-M-dependent gene expression	2.77E00	8.42E-02	NaN	BCL2,CCNB1,CDK2,DPF1,LEF1,LIG1,PLK1,TERT	
Meiotic synapsis	2.77E00	1.09E-01	NaN	BRCA1,H2AX,H2AZ2,H2BC13,H2BC17,LMNB1	
Cell Cycle Regulation by BTG Family Proteins	2.75E00	1.32E-01	NaN	CCNE2,CDK2,E2F1,E2F2,E2F8	
Folate Signaling Pathway	2.69E00	1.05E-01	NaN	BCL2,CCNA2,DHFR,SHMT1,SLC19A1,TYMS	
HDR through MMEJ (alt-NHEJ)	2.63E00	2.5E-01	NaN	BRCA2,FEN1,POLQ	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.54E00	1.54E-01	NaN	DTYMK,RRM1,RRM2,TYMS	
WNT/SHH Axonal Guidance Signaling Pathway	2.54E00	6.62E-02	NaN	ADCY3,FZD8,GLI2,GUCY1B1,HHIP,LEF1,PIK3CD,WNT3,WNT5B,WNT7B	
Assembly of collagen fibrils and other multimeric structures	2.54E00	9.84E-02	NaN	COL4A1,COL4A2,COL6A3,COL7A1,CTSV,ITGB4	
Transcriptional regulation by RUNX1	2.52E00	6.58E-02	NaN	CBX2,CLDN5,CTSV,H2AX,H2AZ2,H2BC13,H2BC17,MYB,SOCS3,TP73	
Glioma Signaling	2.51E00	7.03E-02	NaN	CAMK4,CDKN2C,CDKN2D,E2F1,E2F2,E2F8,PIK3CD,RBL1,SUV39H1	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	2.42E00	1.43E-01	NaN	H2AX,H2AZ2,H2BC13,H2BC17	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	2.41E00	8.14E-02	NaN	BRCA1,FZD8,GLI2,LEF1,WNT3,WNT5B,WNT7B	
p75 NTR receptor-mediated signalling	2.4E00	6.33E-02	NaN	ARHGEF39,BCL2L11,CIT,ECT2,ITGB3BP,NET1,PIK3CD,PLK4,RTN4R,SORCS3	
Pyridoxal 5'-phosphate Salvage Pathway	2.36E00	9.09E-02	NaN	CDK1,CDK2,NEK2,PAK3,PLK1,TTK	
Interconversion of nucleotide di- and triphosphates	2.36E00	1.38E-01	NaN	DTYMK,RRM1,RRM2,TYMS	
Superpathway of Serine and Glycine Biosynthesis I	2.29E00	4E-01	NaN	PHGDH,SHMT1	
Mismatch Repair	2.25E00	1.88E-01	NaN	EXO1,LIG1,PCNA	
Signaling by NOTCH3	2.22E00	1E-01	NaN	DLGAP5,HES1,NEURL1B,TACC3,WWC1	
CDX Gastrointestinal Cancer Signaling Pathway	2.18E00	5.58E-02	NaN	BLM,CDK2,FOS,FZD8,IL17B,LEF1,PIK3CD,RAC3,WNT3,WNT5B,WNT7B	
Metabolism of folate and pterines	2.17E00	1.76E-01	NaN	DHFR,SHMT1,SLC19A1	
Zymosterol Biosynthesis	2.12E00	3.33E-01	NaN	LBR,MSMO1	
IL-9 Signaling	2.07E00	1.14E-01	NaN	CISH,IRS1,PIK3CD,SOCS3	
Salvage Pathways of Pyrimidine Ribonucleotides	2.05E00	7E-02	NaN	APOBEC3B,CDK1,CDK2,NEK2,PAK3,PLK1,TTK	
Intrinsic Pathway for Apoptosis	2.05E00	9.09E-02	NaN	BCL2,BCL2L11,E2F1,SEPTIN4,TP73	
Pre-NOTCH Expression and Processing	2.04E00	7.79E-02	NaN	E2F1,H2AX,H2AZ2,H2BC13,H2BC17,LFNG	
RHO GTPases activate CIT	2.04E00	1.58E-01	NaN	CIT,KIF14,PRC1	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	2.02E00	1.11E-01	NaN	ATAD2,DEK,MYBL2,YEATS4	
PKR-mediated signaling	2.01E00	7.69E-02	NaN	CDK1,FANCA,FANCB,FANCE,FANCG,TUBA3C	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	1.98E00	1.08E-01	NaN	H2AX,H2AZ2,H2BC13,H2BC17	
Coronavirus Pathogenesis Pathway	1.96E00	5.21E-02	NaN	BCL2,BCL2L11,CCNE2,CDK2,E2F1,E2F2,E2F8,FOS,OAS3,RBL1,SUV39H1	
Aryl Hydrocarbon Receptor Signaling	1.96E00	5.46E-02	NaN	CCNA2,CCNE2,CDK2,DHFR,E2F1,FOS,MCM7,POLA1,RBL1,TP73	
Colorectal Cancer Metastasis Signaling	1.94E00	4.8E-02	NaN	ADCY3,BIRC5,DIRAS3,FOS,FZD8,GUCY1B1,LEF1,PIK3CD,PTGER2,RAC3,WNT3,WNT5B,WNT7B	
TR/RXR Activation	1.93E00	6.11E-02	NaN	CAMK4,CCNA2,CDK2,COL6A3,FOXM1,NRGN,PCNA,PIK3CD	
NGF-stimulated transcription	1.9E00	1.03E-01	NaN	EGR1,FOS,FOSB,FOSL1	
Extracellular matrix organization	1.9E00	6.54E-02	NaN	COL4A1,COL4A2,COL6A3,COL7A1,ITGB4,LRP4,NID1	
Transport of inorganic cations/anions and amino acids/oligopeptides	1.88E00	6.48E-02	NaN	SLC16A10,SLC1A3,SLC25A10,SLC4A8,SLC7A2,SLC7A5,SLC8A1	
Transcriptional Regulation by VENTX	1.86E00	1E-01	NaN	CSF1R,LEF1,UBE2C,UBE2S	
CXCR4 Signaling	1.77E00	5.36E-02	NaN	ADCY3,CXCL12,DIRAS3,EGR1,FOS,GUCY1B1,PAK3,PIK3CD,RAC3	
Collagen chain trimerization	1.72E00	9.09E-02	NaN	COL4A1,COL4A2,COL6A3,COL7A1	
Growth hormone receptor signaling	1.71E00	1.2E-01	NaN	CISH,IRS1,SOCS3	
NoRC negatively regulates rRNA expression	1.7E00	7.46E-02	NaN	H2AX,H2AZ2,H2BC13,H2BC17,POLR1G	
Cilium Assembly	1.66E00	4.9E-02	NaN	CDK1,CNTRL,HAUS7,HAUS8,KIF24,NDE1,NEK2,PLK1,PLK4,TUBA3C	
Sheddase Signaling Pathway	1.66E00	4.9E-02	NaN	CCN2,COL4A1,COL4A2,E2F1,E2F2,E2F8,ETS2,FOS,ITGB4,PIK3CD	
WNT ligand biogenesis and trafficking	1.66E00	1.15E-01	NaN	WNT3,WNT5B,WNT7B	
Cholesterol biosynthesis	1.62E00	1.11E-01	NaN	ACAT2,LBR,MSMO1	
Non-Small Cell Lung Cancer Signaling	1.61E00	6.25E-02	NaN	E2F1,E2F2,E2F8,PIK3CD,RBL1,SUV39H1	
Growth Hormone Signaling	1.56E00	6.85E-02	NaN	FOS,IRS1,PIK3CD,RPS6KA5,SOCS3	
Breast Cancer Regulation by Stathmin1	1.56E00	3.63E-02	NaN	ADGRA2,AURKA,AURKB,CAMK4,CDK1,CDK2,CELSR2,E2F1,E2F2,E2F8,FOXM1,FZD8,GPR19,GPR3,GPR85,HTR1D,OXTR,PIK3CD,PTGER2,RAC3,STMN1,TUBA3C	
RNA Polymerase I Transcription	1.54E00	6.76E-02	NaN	H2AX,H2AZ2,H2BC13,H2BC17,POLR1G	
Signaling by Leptin	1.51E00	1.67E-01	NaN	IRS1,SOCS3	
Oleate Biosynthesis II (Animals)	1.51E00	1.67E-01	NaN	FADS2,SCD	
Transcriptional regulation by RUNX2	1.51E00	7.84E-02	NaN	CCNB1,CDK1,GLI2,HES1	
Epithelial Adherens Junction Signaling	1.5E00	5.06E-02	NaN	ECT2,KIF20A,KIF23,LEF1,NECTIN1,PAK3,RACGAP1,WWC1	
Protein ubiquitination	1.5E00	1E-01	NaN	UBE2C,UBE2S,UBE2T	
GDNF Family Ligand-Receptor Interactions	1.49E00	6.58E-02	NaN	ARTN,FOS,GDNF,IRS1,PIK3CD	
