© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Xenobiotic Metabolism PXR Signaling Pathway	1.65E00	2.71E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1,UGT1A1	
Inflammasome pathway	1.64E00	8.33E-02	NaN	IL1B,TLR4	
Triacylglycerol Degradation	1.62E00	4.76E-02	NaN	ALDH2,DAGLA,PNLIPRP3	
Metabolism of porphyrins	1.57E00	7.69E-02	NaN	SLCO2B1,UGT1A1	
IL-17A Signaling in Gastric Cells	1.57E00	7.69E-02	NaN	CXCL1,CXCL8	
Ribavirin ADME	1.55E00	4.48E-02	NaN	ADA,SLC28A3,SLC29A3	
Antioxidant Action of Vitamin C	1.55E00	3.42E-02	NaN	CSF2,GLRX,PLA2G4C,PLCZ1	
Effects of PIP2 hydrolysis	1.54E00	7.41E-02	NaN	DAGLA,DGKB	
Pyroptosis	1.54E00	7.41E-02	NaN	IL1A,IL1B	
L-serine Degradation	1.54E00	3.33E-01	NaN	SDS	
Cachexia Signaling Pathway	1.53E00	2.17E-02	NaN	ACVR1C,CSF2,CXCL8,IL1A,IL1B,LIF,NOX4,TLR4	
Senescence Pathway	1.53E00	2.33E-02	NaN	ACVR1C,CACNA1D,CXCL8,IL1A,SAA1,SAA2,SAA4	
Sensory processing of sound by inner hair cells of the cochlea	1.52E00	4.35E-02	NaN	CACNA1D,MYO3B,WHRN	
Orexin Signaling Pathway	1.49E00	2.48E-02	NaN	CACNA1D,DAGLA,IL1B,KCNJ6,PLA2G4C,PLCZ1	
Tumor Microenvironment Pathway	1.49E00	2.78E-02	NaN	CSF2,CSF3,CXCL8,IL1B,MMP24	
Erythropoietin Signaling Pathway	1.48E00	2.76E-02	NaN	CSF2,CXCL8,IL1A,IL1B,LIF	
p38 MAPK Signaling	1.47E00	3.23E-02	NaN	IL1A,IL1B,IRAK2,PLA2G4C	
Glutathione Redox Reactions I	1.46E00	6.67E-02	NaN	CP,PTGES	
Pathogen Induced Cytokine Storm Signaling Pathway	1.45E00	2.09E-02	NaN	COL9A2,CSF2,CXCL1,CXCL8,IL1A,IL1B,LIF,TLR4	
Senescence-Associated Secretory Phenotype (SASP)	1.44E00	4.05E-02	NaN	CXCL8,H2BC12,IL1A	
Cyclophilin Signaling Pathway	1.43E00	2.41E-02	NaN	CD36,CXCL1,CXCL8,IL1B,NOX4,VCAM1	
Nicotinate metabolism	1.43E00	6.45E-02	NaN	NMNAT2,NMNAT3	
MyD88 dependent cascade initiated on endosome	1.43E00	6.45E-02	NaN	IRAK2,TLR4	
NGF processing	1.41E00	2.5E-01	NaN	PCSK5	
Threonine catabolism	1.41E00	2.5E-01	NaN	SDS	
Phenylethylamine Degradation I	1.41E00	2.5E-01	NaN	ALDH2	
Ascorbate Recycling (Cytosolic)	1.41E00	2.5E-01	NaN	GLRX	
Cellular Effects of Sildenafil (Viagra)	1.41E00	1.75E-02	NaN	ACVR1C,C5AR1,CACNA1D,CALCRL,GPR35,GPR37L1,HCN4,HTR1F,KCNQ3,MYO5C,PTGER3,RGR	
Toll-like Receptor Cascades	1.41E00	6.25E-02	NaN	CD36,TLR4	
Cardiac Hypertrophy Signaling (Enhanced)	1.4E00	1.86E-02	NaN	ACVR1C,CACNA1D,CSF2,CXCL8,IL13RA2,IL1A,IL1B,ITGA7,LIF,PLCZ1	
Macrophage Alternative Activation Signaling Pathway	1.38E00	2.6E-02	NaN	CD36,EPAS1,IL1A,IL1B,TLR4	
Response to elevated platelet cytosolic Ca2+	1.38E00	3.03E-02	NaN	CD36,PSAP,SERPINA1,SERPINA3	
Airway Inflammation in Asthma	1.38E00	6.06E-02	NaN	CSF2,CXCL8	
GABA Receptor Signaling	1.37E00	3.01E-02	NaN	CACNA1D,GABRB3,KCNQ3,SLC6A13	
IL-27 Signaling Pathway	1.36E00	2.99E-02	NaN	C5AR1,CD28,CSF2,TLR4	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.34E00	3.7E-02	NaN	LIF,SERPINA1,SERPINA3	
Molecular Mechanisms of Cancer	1.34E00	1.63E-02	NaN	BMP2,C5AR1,CALCRL,CTNNA2,GPR35,GPR37L1,HTR1F,IL13RA2,IL1A,IL1B,ITGA7,MMP24,PTGER3,RGR	
PPARα/RXRα Activation	1.34E00	2.53E-02	NaN	ACVR1C,CD36,CYP2C18,IL1B,PLCZ1	
Phagosome Formation	1.33E00	1.7E-02	NaN	C5AR1,CALCRL,CD36,GPR35,GPR37L1,HTR1F,ITGA7,MYO5C,PLA2G4C,PTGER3,RGR,TLR4	
Metabolism of water-soluble vitamins and cofactors	1.33E00	3.66E-02	NaN	TCN1,VNN1,VNN2	
Glutathione Redox Reactions II	1.32E00	2E-01	NaN	GLRX	
Melatonin Degradation II	1.32E00	2E-01	NaN	IL4I1	
GABAergic Receptor Signaling Pathway (Enhanced)	1.31E00	2.86E-02	NaN	CACNA1D,GABRB3,KCNJ6,SLC6A13	
Adrenomedullin signaling pathway	1.31E00	2.48E-02	NaN	CALCRL,IL1A,IL1B,KCNQ3,PLCZ1	
Detoxification of Reactive Oxygen Species	1.29E00	5.41E-02	NaN	NOX4,NOX5	
Fatty acyl-CoA biosynthesis	1.29E00	5.41E-02	NaN	ACSL5,ACSL6	
Integrin cell surface interactions	1.29E00	3.53E-02	NaN	COL9A2,ITGA7,VCAM1	
MyD88-independent TLR4 cascade	1.27E00	5.26E-02	NaN	IRAK2,TLR4	
MIF-mediated Glucocorticoid Regulation	1.27E00	5.26E-02	NaN	PLA2G4C,TLR4	
IL-8 Signaling	1.26E00	2.4E-02	NaN	CXCL1,CXCL8,IRAK2,NOX4,VCAM1	
Role of Tissue Factor in Cancer	1.26E00	2.4E-02	NaN	ACVR1C,CSF2,CXCL1,CXCL8,IL1B	
Formation of Fibrin Clot (Clotting Cascade)	1.25E00	5.13E-02	NaN	SERPIND1,THBD	
NFE2L2 regulating inflammation associated genes	1.24E00	1.67E-01	NaN	CXCL8	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	1.24E00	1.67E-01	NaN	KYNU	
Eicosanoid Signaling	1.22E00	2.13E-02	NaN	KCNMB3,PLA2G4C,PLCZ1,PTGER3,PTGES,SLCO2A1	
Superpathway of Melatonin Degradation	1.22E00	3.3E-02	NaN	CYP2C18,IL4I1,UGT1A1	
Dilated Cardiomyopathy Signaling Pathway	1.21E00	2.65E-02	NaN	CACNA1D,MYO5C,RBM20,TNNT2	
