© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
G alpha (i) signalling events	1.03E00	1.97E-02	NaN	CCL5,FPR1,GPER1,LPAR1,RGS5,TAS2R3	
Senescence Pathway	1.02E00	1.96E-02	NaN	CACNB4,ELF3,IL6,PDK4,SMAD6,SOD2	
Gluconeogenesis I	1.02E00	3.92E-02	NaN	ENO2,NAD 	
β-alanine Degradation I	1.01E00	1E-01	NaN	NAD 	
Superoxide Radicals Degradation	1.01E00	1E-01	NaN	SOD2	
2-amino-3-carboxymuconate Semialdehyde Degradation to Glutaryl-CoA	1.01E00	1E-01	NaN	NAD 	
NAD Biosynthesis III	1.01E00	1E-01	NaN	NAD 	
4-aminobutyrate Degradation I	1.01E00	1E-01	NaN	NAD 	
NAFLD Signaling Pathway	1E00	2.09E-02	NaN	IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Xenobiotic Metabolism AHR Signaling Pathway	9.85E-01	2.73E-02	NaN	ALDH1L1,IL6,UGT1A7	
Cellular Effects of Sildenafil (Viagra)	9.85E-01	1.58E-02	NaN	AGTR1,CACNB4,FPR1,GPER1,GPR146,GPR68,ID1,IL6,LPAR1,PTGIR,SOD2	
ISGylation Signaling Pathway	9.77E-01	2.7E-02	NaN	IL6,IRF6,TLR7	
Phenylethylamine Degradation I	9.71E-01	9.09E-02	NaN	NAD 	
NAD Salvage Pathway III	9.71E-01	9.09E-02	NaN	NAD 	
Taurine Biosynthesis	9.71E-01	9.09E-02	NaN	NAD 	
4-hydroxyproline Degradation I	9.71E-01	9.09E-02	NaN	NAD 	
Phenylalanine Degradation I (Aerobic)	9.71E-01	9.09E-02	NaN	NAD 	
Role of Cytokines in Mediating Communication between Immune Cells	9.63E-01	3.64E-02	NaN	IL33,IL6	
nNOS Signaling in Skeletal Muscle Cells	9.63E-01	3.64E-02	NaN	CACNB4,SNTB1	
Actin Cytoskeleton Signaling	9.62E-01	2.03E-02	NaN	ACTN2,FGF11,FGF7,ITGA1,LBP	
CREB Signaling in Neurons	9.61E-01	1.6E-02	NaN	AGTR1,CACNB4,FPR1,GPER1,GPR146,GPR68,GRIA3,LPAR1,PDGFRA,PTGIR	
Extracellular matrix organization	9.59E-01	2.65E-02	NaN	ITGA1,LAMA2,VTN	
Heparan Sulfate Biosynthesis	9.51E-01	2.63E-02	NaN	AADAC,HS6ST3,SULT4A1	
S100 Family Signaling Pathway	9.5E-01	1.52E-02	NaN	AGTR1,CACNB4,FPR1,GPER1,GPR146,GPR68,IL6,JCHAIN,LPAR1,PLAT,PTGIR,SMAD6	
Neurexins and neuroligins	9.37E-01	3.51E-02	NaN	DLG4,SYT1	
Caspase activation via Dependence Receptors in the absence of ligand	9.35E-01	8.33E-02	NaN	UNC5B	
Proline catabolism	9.35E-01	8.33E-02	NaN	NAD 	
Intestinal absorption	9.35E-01	8.33E-02	NaN	SLC2A5	
Lipophagy	9.35E-01	8.33E-02	NaN	PLIN2	
Hematopoiesis from Multipotent Stem Cells	9.35E-01	8.33E-02	NaN	CSF1	
Serine Biosynthesis	9.35E-01	8.33E-02	NaN	NAD 	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	9.35E-01	8.33E-02	NaN	NAD 	
Ascorbate Recycling (Cytosolic)	9.35E-01	8.33E-02	NaN	NAD 	
Glutamate Degradation III (via 4-aminobutyrate)	9.35E-01	8.33E-02	NaN	NAD 	
Transcriptional and post-translational regulation of MITF-M expression and activity	9.13E-01	3.39E-02	NaN	ID1,NAD 	
Semaphorin Signaling in Neurons	9.13E-01	3.39E-02	NaN	PLXNA3,RHOU	
Peptide hormone biosynthesis	9.03E-01	7.69E-02	NaN	PCSK1	
Galactose catabolism	9.03E-01	7.69E-02	NaN	NAD 	
L-carnitine Biosynthesis	9.03E-01	7.69E-02	NaN	NAD 	
Thyronamine and Iodothyronamine Metabolism	9.03E-01	7.69E-02	NaN	DIO1	
L-DOPA Degradation	9.03E-01	7.69E-02	NaN	NAD 	
Glycine Cleavage Complex	9.03E-01	7.69E-02	NaN	NAD 	
Thyroid Hormone Metabolism I (via Deiodination)	9.03E-01	7.69E-02	NaN	DIO1	
PAK Signaling	9.02E-01	2.5E-02	NaN	EPHA3,ITGA1,PDGFRA	
