© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Sleep NREM Signaling Pathway	2.59E00	7.76E-02	NaN	ADCY2,ADRB2,CAMK2A,CAMK2B,CREB5,GABRA2,GABRB2,GABRG1,PRKAR1B	
White Adipose Tissue Browning Pathway	2.57E00	7.19E-02	NaN	ADCY2,BMP7,CACNA1E,CACNA2D3,CREB5,DIO2,NPPB,PPARG,PRKAR1B,PRKG2	
Noradrenaline and Adrenaline Degradation	2.56E00	1.28E-01	NaN	ADH7,DHRS2,DHRS9,MAOA,MAOB	
Toll-like Receptor Signaling	2.5E00	9.09E-02	NaN	IL12A,IL1RL1,IL1RN,IL36G,IL36RN,TLR8,TRAF1	
DAG and IP3 signaling	2.46E00	1.22E-01	NaN	ADCY2,CAMK2A,CAMK2B,PDE1A,PRKAR1B	
DNA Double Strand Break Response	2.45E00	1.02E-01	NaN	EYA2,H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Molecular Mechanisms of Cancer	2.44E00	4.07E-02	NaN	ADCY2,ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,BIRC3,BMP7,CAMK2A,CAMK2B,CCRL2,CHRM2,CHRM3,CHRM5,GNG4,GPR156,GPR179,GRM4,GRM7,HDAC9,HTR2C,IL1RL1,ITGA8,LGR5,MMP12,MMP3,P2RY14,PRKAR1B,PRKCB,PTAFR,RASGRP1,RXFP1,TACR1,TGFA	
Cardiac β-adrenergic Signaling	2.42E00	6.47E-02	NaN	ADCY2,CACNA1E,CACNA2D3,GNG4,MPPED2,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PRKAR1B	
Digestion	2.36E00	1.48E-01	NaN	CHIT1,LCT,LIPF,SI	
Glycation Signaling Pathway	2.34E00	5.78E-02	NaN	COL4A6,HKDC1,IL12A,IL36G,MAOB,MAPK4,MAPT,MSR1,NCF2,OLR1,PRKCB,TNFSF15,TNFSF8	
Netrin-1 signaling	2.33E00	1.14E-01	NaN	ABLIM1,DCC,TRPC4,TRPC5,UNC5D	
Dilated Cardiomyopathy Signaling Pathway	2.32E00	6.62E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CAMK1G,CAMK2A,CAMK2B,MYH13,MYH14,MYL2,PRKAR1B	
Interleukin-10 signaling	2.29E00	1.11E-01	NaN	CCL3,CXCL2,IL12A,IL1RN,PTAFR	
Melatonin Degradation II	2.23E00	4E-01	NaN	MAOA,MAOB	
Relaxin Signaling	2.22E00	6.41E-02	NaN	ADCY2,GNG4,MPPED2,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PRKAR1B,RXFP1	
WNT/Ca+ pathway	2.21E00	9.09E-02	NaN	CAMK2A,CREB5,NFATC2,PDE6G,PLCG2,PLCL1	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.2E00	1.33E-01	NaN	AKR1B10,DDC,MAOA,MAOB	
Parkinson's Signaling Pathway	2.19E00	5.06E-02	NaN	CACNA1E,CACNA2D3,CAMK2A,CAMK2B,DDC,FCGR1A,GRIA4,GRIN2B,IL12A,IL36G,MAOA,MAOB,SLC40A1,TLR8,TNFSF15,TNFSF8	
Amyloid fiber formation	2.18E00	7.95E-02	NaN	CALB1,H2AC25,H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
BBSome Signaling Pathway	2.16E00	4.46E-02	NaN	ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CCRL2,CCT6B,CHRM2,CHRM3,CHRM5,GPR156,GPR179,GRM4,GRM7,HTR2C,LGR5,P2RY14,PRKAR1B,PTAFR,RXFP1,TACR1	
Glutamate Receptor Signaling	2.15E00	8.82E-02	NaN	GNG4,GRIA4,GRID2,GRIN2B,GRM4,GRM7	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	2.14E00	1.29E-01	NaN	CAMK2A,CAMK2B,GRIA4,PRKCB	
Transcriptional regulation of brown and beige adipocyte differentiation	2.14E00	1.29E-01	NaN	BMP7,DIO2,EBF2,PPARG	
Opioid Signalling	2.13E00	7.78E-02	NaN	ADCY2,CAMK2A,CAMK2B,GNG4,PDE1A,PDE4C,PRKAR1B	
Nonhomologous End-Joining (NHEJ)	2.13E00	1.02E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Nucleosome assembly	2.13E00	1.02E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Phase I - Functionalization of compounds	2.12E00	7.08E-02	NaN	ADH7,AOC3,CES1,CYP1A1,CYP3A5,CYP3A7,MAOA,MAOB	
Meiotic recombination	2.09E00	1E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Transcriptional regulation of granulopoiesis	2.05E00	9.8E-02	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Sialic acid metabolism	2.05E00	1.21E-01	NaN	NEU4,ST6GALNAC3,ST6GALNAC5,ST8SIA5	
Neuroinflammation Signaling Pathway	2.02E00	4.85E-02	NaN	BIRC3,CALB1,CCL3,CREB5,GABRA2,GABRB2,GABRG1,GRIN2B,IL12A,MAPK4,MAPT,MMP3,NCF2,NFATC2,PLCG2,TLR8	
B-WICH complex positively regulates rRNA expression	2.02E00	9.62E-02	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Apoptotic execution phase	2.02E00	9.62E-02	NaN	DSG1,DSP,H1-0,H1-2,MAPT	
ESR-mediated signaling	2.01E00	6.78E-02	NaN	GREB1,H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5,NR5A2,TGFA	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.99E00	6.72E-02	NaN	ADCY2,CACNA1E,CACNA2D3,GNG4,PLCG2,PLCL1,PRKAR1B,PRKCB	
FXR/RXR Activation	1.98E00	5.64E-02	NaN	FETUB,GSTO2,HNF4A,IL12A,IL1RN,IL36G,IL36RN,NR5A2,PPARG,TNFSF15,TNFSF8	
Melatonin Signaling	1.98E00	8.11E-02	NaN	CAMK2A,CAMK2B,PLCG2,PLCL1,PRKAR1B,PRKCB	
G alpha (s) signalling events	1.96E00	6.21E-02	NaN	ADCY2,ADCYAP1R1,ADRB2,GNG4,PDE11A,PDE1A,PDE3B,PDE4C,RXFP1	
Synaptic Long Term Depression	1.94E00	5.56E-02	NaN	CACNA1E,CACNA2D3,GRIA4,GRID2,GRM4,GRM7,PLCG2,PLCL1,PRKCB,PRKG2,RYR1	
Interferon gamma signaling	1.93E00	7.14E-02	NaN	CAMK2A,CAMK2B,FCGR1A,FCGR1BP,OASL,PTAFR,TRIM10	
Axonal Guidance Signaling	1.93E00	4.26E-02	NaN	ABLIM1,ADAM7,BMP7,DCC,DPYSL5,EPHA7,GNG4,ITGA8,KALRN,MEP1A,MMP12,MMP3,MYL2,NFATC2,NGFR,NTNG1,NTRK3,PLCG2,PLCL1,PRKAR1B,PRKCB,UNC5D	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.92E00	7.89E-02	NaN	ADCY2,ADRB2,CHRM2,PLCG2,PLCL1,PRKAR1B	
Meiotic synapsis	1.92E00	9.09E-02	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Role of Cytokines in Mediating Communication between Immune Cells	1.92E00	9.09E-02	NaN	IL12A,IL1RN,IL24,IL36G,IL36RN	
Receptor-type tyrosine-protein phosphatases	1.89E00	1.5E-01	NaN	IL1RAPL1,NTRK3,PTPRD	
Role of NFAT in Cardiac Hypertrophy	1.88E00	5.24E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CAMK1G,CAMK2A,CAMK2B,GNG4,HDAC9,PLCG2,PLCL1,PRKAR1B,PRKCB	
Adrenomedullin signaling pathway	1.88E00	5.45E-02	NaN	ADCY2,IL1RN,IL36G,IL36RN,KCNN3,MAPK4,PLCG2,PLCL1,PPARG,PRKAR1B,PRKG2	
Factors Promoting Cardiogenesis in Vertebrates	1.85E00	5.96E-02	NaN	BMP7,CAMK2A,CAMK2B,CREB5,MYL2,NPPB,PLCG2,PLCL1,PRKCB	
TREM1 Signaling	1.84E00	7.59E-02	NaN	CCL3,IL1RL1,NLRP10,NOD2,PLCG2,TLR8	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.84E00	5.62E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CREB5,GRIN2B,PLCG2,PLCL1,PRKAR1B,PRKCB,PRKG2	
Synaptic adhesion-like molecules	1.83E00	1.43E-01	NaN	GRIA4,GRIN2B,PTPRD	
RUNX1 regulates megakaryocyte differentiation and platelet function	1.83E00	8.62E-02	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Potassium Channels	1.82E00	6.8E-02	NaN	GNG4,KCNA2,KCND3,KCNH7,KCNK13,KCNK3,KCNN3	
Superoxide Radicals Degradation	1.8E00	2.5E-01	NaN	CYGB,TYRP1	
Chemokine Signaling	1.79E00	7.41E-02	NaN	CAMK1G,CAMK2A,CAMK2B,MYL2,PLCG2,PRKCB	
Interleukin-1 family signaling	1.79E00	6.2E-02	NaN	IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,NOD2,PTPN20,PTPN5	
Cargo recognition for clathrin-mediated endocytosis	1.78E00	6.67E-02	NaN	ADRB2,CHRM2,HBEGF,LRP2,SYT11,TACR1,TGFA	
G Beta Gamma Signaling	1.78E00	6.15E-02	NaN	ADCY2,CACNA1E,CACNA2D3,GNG4,HBEGF,PLCG2,PRKAR1B,PRKCB	
Ion channel transport	1.76E00	5.46E-02	NaN	ANO3,BEST3,CAMK2A,CAMK2B,CLCA2,RYR1,TRDN,TRPC4,TRPC5,WNK3	
Neutrophil degranulation	1.74E00	4.19E-02	NaN	ADA2,ARHGAP9,CDA,CHIT1,CTSS,CYSTM1,DSC1,DSG1,DSP,FLG2,FOLR3,HRNR,IQGAP2,LCN2,OLR1,PIGR,PTAFR,PTPRC,RAB44,SLC11A1	
Visual phototransduction	1.74E00	8.2E-02	NaN	ABCA4,CNGB1,DHRS9,MYO7A,PDE6G	
LPS/IL-1 Mediated Inhibition of RXR Function	1.73E00	4.7E-02	NaN	ABCA1,CYP3A5,CYP3A7,GSTO2,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,MAOA,MAOB,NGFR,NR5A2,SULT1B1	
Transport of bile salts and organic acids, metal ions and amine compounds	1.72E00	7.14E-02	NaN	SLC11A1,SLC13A1,SLC22A1,SLC40A1,SLC47A1,SLC6A7	
GABA Receptor Signaling	1.72E00	6.02E-02	NaN	ADCY2,CACNA1E,CACNA2D3,GABRA2,GABRB2,GABRG1,GNG4,KCNN3	
PPAR Signaling	1.72E00	6.48E-02	NaN	IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,NGFR,PPARG	
Microautophagy Signaling Pathway	1.72E00	5.66E-02	NaN	COL11A1,COL21A1,COL22A1,COL24A1,COL25A1,COL28A1,COL4A6,COL6A6,COL9A1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.72E00	1.3E-01	NaN	CCL3,IL12A,LCN2	
Orexin Signaling Pathway	1.71E00	4.96E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CAMK2B,GNG4,PLCG2,PLCL1,PPARG,PRKAR1B,PRKCB,TRPC4,TRPC5	
Activation of NMDA receptors and postsynaptic events	1.7E00	7.06E-02	NaN	CAMK2A,CAMK2B,GRIA4,GRIN2B,MAPT,PRKAR1B	
