© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	1.31E00	2.79E-02	NaN	CD300C,IGLV1-51,KLRC1,SLAMF7,TREM1,VCAM1	
Xenobiotic Metabolism Signaling	1.29E00	2.42E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL1A,IL1B,IL4I1,UGT1A1	
Phagosome Formation	1.29E00	1.98E-02	NaN	ADGRD1,C5AR1,CALCRL,CCR7,CD36,FZD3,GPR35,GPR37L1,MYO5C,PLA2G4C,PTGER3,RGR,TLR4,VAV3	
Xenobiotic Metabolism PXR Signaling Pathway	1.27E00	2.71E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1,UGT1A1	
Nicotinate metabolism	1.26E00	6.45E-02	NaN	NMNAT2,NMNAT3	
MyD88 dependent cascade initiated on endosome	1.26E00	6.45E-02	NaN	IRAK2,TLR4	
Amyotrophic Lateral Sclerosis Signaling	1.26E00	3.42E-02	NaN	CACNA1D,CAPN3,GRIN2A,NEFL	
Antioxidant Action of Vitamin C	1.26E00	3.42E-02	NaN	CSF2,GLRX,PLA2G4C,PLCZ1	
ESR-mediated signaling	1.25E00	3.39E-02	NaN	ESR1,H2AC6,H2BC12,H2BC15	
Toll-like Receptor Cascades	1.24E00	6.25E-02	NaN	CD36,TLR4	
MSP-RON Signaling in Macrophages Pathway	1.23E00	3.33E-02	NaN	HLA-DPA1,HLA-DRB1,MST1R,TLR4	
Signaling by MST1	1.23E00	2E-01	NaN	MST1R	
Glutathione Redox Reactions II	1.23E00	2E-01	NaN	GLRX	
Melatonin Degradation II	1.23E00	2E-01	NaN	IL4I1	
Lactose Degradation III	1.23E00	2E-01	NaN	GBA3	
Airway Inflammation in Asthma	1.21E00	6.06E-02	NaN	CSF2,CXCL8	
RNA Polymerase I Transcription	1.21E00	4.05E-02	NaN	H2AC6,H2BC12,H2BC15	
Fatty Acid β-oxidation I	1.19E00	5.88E-02	NaN	ACSL5,ACSL6	
Th1 and Th2 Activation Pathway	1.19E00	2.84E-02	NaN	CD28,HLA-DPA1,HLA-DRB1,KLRC1,STAT4	
Cardiac Hypertrophy Signaling (Enhanced)	1.18E00	2.05E-02	NaN	CACNA1D,CSF2,CXCL8,FZD3,IL13RA2,IL1A,IL1B,IL36B,LIF,PLCZ1,TG	
Oxytocin in Spinal Neurons Signaling Pathway	1.17E00	5.71E-02	NaN	ABCC8,ABCC9	
Pre-NOTCH Expression and Processing	1.17E00	3.9E-02	NaN	H2AC6,H2BC12,H2BC15	
Tumor Microenvironment Pathway	1.16E00	2.78E-02	NaN	CSF2,CSF3,CXCL8,IL1B,MMP1	
VDR/RXR Activation	1.16E00	3.85E-02	NaN	CSF2,HSD17B2,THBD	
Maturity Onset Diabetes of Young (MODY) Signaling	1.16E00	3.85E-02	NaN	ABCC8,ABCC9,CACNA1D	
NFE2L2 regulating inflammation associated genes	1.15E00	1.67E-01	NaN	CXCL8	
Interleukin-1 family signaling	1.14E00	3.1E-02	NaN	IL1A,IL1B,IL36B,IRAK2	
IL-6 Signaling	1.14E00	3.1E-02	NaN	CXCL8,IL1A,IL1B,IL36B	
Detoxification of Reactive Oxygen Species	1.13E00	5.41E-02	NaN	NOX4,NOX5	
Fatty acyl-CoA biosynthesis	1.13E00	5.41E-02	NaN	ACSL5,ACSL6	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	1.13E00	5.41E-02	NaN	SERPINB2,STAT4	
Senescence Pathway	1.12E00	2.33E-02	NaN	CACNA1D,CAPN3,CXCL8,IL1A,SAA1,SAA2,SAA4	
Costimulation by the CD28 family	1.12E00	3.05E-02	NaN	CD28,HLA-DPA1,HLA-DRB1,PRR5L	
Orexin Signaling Pathway	1.12E00	2.48E-02	NaN	CACNA1D,DAGLA,IL1B,KCNJ6,PLA2G4C,PLCZ1	
IL-12 Signaling and Production in Macrophages	1.12E00	2.48E-02	NaN	CSF2,MST1R,SAA4,SERPINA1,STAT4,TLR4	
MyD88-independent TLR4 cascade	1.11E00	5.26E-02	NaN	IRAK2,TLR4	
Metabolism of steroid hormones	1.11E00	5.26E-02	NaN	AKR1B15,HSD17B2	
MIF-mediated Glucocorticoid Regulation	1.11E00	5.26E-02	NaN	PLA2G4C,TLR4	
Response to elevated platelet cytosolic Ca2+	1.11E00	3.03E-02	NaN	CD36,PSAP,SERPINA1,SERPINA3	
Metabolism of water-soluble vitamins and cofactors	1.1E00	3.66E-02	NaN	TCN1,VNN1,VNN2	
