© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Glycosaminoglycan metabolism	1.14E00	3.12E-02	NaN	HS6ST3,IDUA,SDC3,SDC4	
Osteoarthritis Pathway	1.13E00	2.52E-02	NaN	DLX5,ELF3,EPAS1,ITGA1,ITGA7,SDC4	
cAMP-mediated signaling	1.11E00	2.49E-02	NaN	AGTR1,GPER1,HTR1F,LPAR1,PTGIR,RAPGEF4	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.11E00	3.7E-02	NaN	IL6,LBP,SERPINA5	
HGF Signaling	1.11E00	3.05E-02	NaN	ELF3,IL6,ITGA1,ITGA7	
Actin Cytoskeleton Signaling	1.11E00	2.48E-02	NaN	ACTN2,FGF11,FGF7,ITGA1,ITGA7,LBP	
Complement System	1.08E00	5.13E-02	NaN	C3,SERPING1	
Fructose metabolism	1.08E00	1.43E-01	NaN	AKR1B1	
IL-17 Signaling	1.08E00	2.65E-02	NaN	CCL2,IL33,IL6,TNFSF13B,TNFSF14	
Activation of NMDA receptors and postsynaptic events	1.06E00	3.53E-02	NaN	ACTN2,DLG4,GRIA3	
RAR Activation	1.06E00	2.08E-02	NaN	ACVR1C,CSF2RB,IGFBP3,IL33,IL6,RDH5,RHOU,TNFSF13B,TNFSF14	
Macrophage Alternative Activation Signaling Pathway	1.06E00	2.6E-02	NaN	CSF1,EPAS1,IL33,IL6,JCHAIN	
Superoxide Radicals Degradation	1.03E00	1.25E-01	NaN	SOD2	
Regulation of Cellular Mechanics by Calpain Protease	1.02E00	3.37E-02	NaN	ACTN2,ITGA1,ITGA7	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.02E00	2.21E-02	NaN	ACP5,ADAM28,COL8A1,CSF1,MMP24,RHOU,SFRP4	
Adrenergic Receptor Signaling Pathway (Enhanced)	1.01E00	2.53E-02	NaN	CACNB4,IL33,IL6,TNFSF13B,TNFSF14	
Oncostatin M Signaling	1.01E00	4.65E-02	NaN	EPAS1,MT2A	
RAB GEFs exchange GTP for GDP on RABs	1.01E00	3.33E-02	NaN	DENND6B,RAB6B,RINL	
Tuberculosis Latent Signaling Pathway	1.01E00	3.33E-02	NaN	PLIN2,TNFSF13B,TNFSF14	
G alpha (i) signalling events	1.01E00	2.33E-02	NaN	C3,GPER1,HTR1F,LPAR1,RGS5,TAS2R3	
Actin Nucleation by ARP-WASP Complex	9.95E-01	3.3E-02	NaN	ITGA1,ITGA7,RHOU	
TP53 Regulates Transcription of Cell Death Genes	9.94E-01	4.55E-02	NaN	IGFBP3,NDRG1	
Collagen chain trimerization	9.94E-01	4.55E-02	NaN	COL14A1,COL8A1	
Assembly and cell surface presentation of NMDA receptors	9.94E-01	4.55E-02	NaN	ACTN2,DLG4	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	9.94E-01	2.78E-02	NaN	CCL2,IL33,IL6,MMP24	
RAF/MAP kinase cascade	9.82E-01	2.29E-02	NaN	ACTN2,CSF2RB,DLG4,FGF7,PDGFRA,SPTBN2	
Lipophagy	9.79E-01	1.11E-01	NaN	PLIN2	
Heparan Sulfate Biosynthesis (Late Stages)	9.63E-01	3.19E-02	NaN	AADAC,HS6ST3,SULT4A1	
Sensory perception of taste	9.47E-01	4.26E-02	NaN	TAS2R3,TRPM4	
Neurotransmitter clearance	9.35E-01	1E-01	NaN	BCHE	
Caspase activation via Dependence Receptors in the absence of ligand	9.35E-01	1E-01	NaN	UNC5B	
Prednisone ADME	9.35E-01	1E-01	NaN	HSD11B1	
Integrin Signaling	9.32E-01	2.38E-02	NaN	ACTN2,ITGA1,ITGA7,RHOU,TSPAN1	
Interferon gamma signaling	9.23E-01	3.06E-02	NaN	HLA-H,IRF6,MT2A	
Crosstalk between Dendritic Cells and Natural Killer Cells	9.23E-01	3.06E-02	NaN	CSF2RB,IL6,TLR7	
Activin Inhibin Signaling Pathway	9.2E-01	2.36E-02	NaN	IL33,IL6,JCHAIN,TLR7,TNFSF13B	
nNOS Signaling in Skeletal Muscle Cells	9.02E-01	4E-02	NaN	CACNB4,SNTB1	
Retinoate Biosynthesis I	9.02E-01	4E-02	NaN	AKR1B1,RDH5	
Pexophagy	8.97E-01	9.09E-02	NaN	EPAS1	
Heparan Sulfate Biosynthesis	8.95E-01	2.97E-02	NaN	AADAC,HS6ST3,SULT4A1	
FAT10 Cancer Signaling Pathway	8.88E-01	3.92E-02	NaN	ACVR1C,IL6	
Pyroptosis Signaling Pathway	8.86E-01	2.94E-02	NaN	GSDMB,TLR7,TXNIP	
ERK/MAPK Signaling	8.71E-01	2.27E-02	NaN	ELF3,ITGA1,ITGA7,PPP1R3C,RAPGEF4	
HEY1 Signaling Pathway	8.65E-01	2.48E-02	NaN	ACVR1C,IL6,MFAP5,MMP24	
Presynaptic depolarization and calcium channel opening	8.61E-01	8.33E-02	NaN	CACNB4	
