© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Melanocyte Development and Pigmentation Signaling	9.86E-01	4.04E-02	NaN	ADCY3,BCL2,GUCY1B1,RPS6KA5	
Protein Kinase A Signaling	9.86E-01	2.78E-02	NaN	ADCY3,CDC25A,CDC25B,CDC25C,CDKN3,GUCY1B1,H1-4,H1-5,LEF1,MYLK2,UBASH3B	
NCAM signaling for neurite out-growth	9.82E-01	4.76E-02	NaN	ARTN,RPS6KA5,SPTBN4	
Signaling by ALK	9.72E-01	6.45E-02	NaN	IRS1,PTN	
Signaling by CSF1 (M-CSF) in myeloid cells	9.72E-01	6.45E-02	NaN	CSF1R,GRAP2	
Deubiquitination	9.72E-01	3.02E-02	NaN	BARD1,BRCA1,CCNA2,CDC20,CDC25A,CDK1,CLSPN,H2BC17	
Gene Silencing by RNA	9.51E-01	3.92E-02	NaN	H2AX,H2AZ2,H2BC17,MYBL1	
RHO GTPases activate IQGAPs	9.49E-01	6.25E-02	NaN	IQGAP3,TUBA3C	
Regulation of endogenous retroelements	9.29E-01	3.85E-02	NaN	DPF1,H2AX,H2AZ2,H2BC17	
Inhibition of Angiogenesis by TSP1	9.27E-01	6.06E-02	NaN	GUCY1B1,SDC1	
Fructose metabolism	9.24E-01	1.43E-01	NaN	KHK	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	9.24E-01	1.43E-01	NaN	TK1	
Ribavirin ADME	9.22E-01	4.48E-02	NaN	CIT,PLK4,SLC29A1	
Transport of inorganic cations/anions and amino acids/oligopeptides	8.85E-01	3.7E-02	NaN	SLC16A10,SLC25A10,SLC4A8,SLC8A1	
TP53 Regulates Transcription of DNA Repair Genes	8.81E-01	4.29E-02	NaN	BRCA1,FANCD2,FANCI	
Sucrose Degradation V (Mammalian)	8.7E-01	1.25E-01	NaN	KHK	
Replacement of protamines by nucleosomes in the male pronucleus	8.46E-01	5.41E-02	NaN	H2AX,H2BC17	
CDX Gastrointestinal Cancer Signaling Pathway	8.38E-01	3.05E-02	NaN	BLM,CDK2,IL17B,LEF1,RAC3,WNT7B	
OAS antiviral response	8.22E-01	1.11E-01	NaN	OAS3	
NGF-stimulated transcription	8.1E-01	5.13E-02	NaN	F3,FOSL1	
Cerebral Malformation Signaling Pathway	7.96E-01	3.42E-02	NaN	CCNA2,CDK1,CKS1B,E2F1	
Hypoxia Signaling in the Cardiovascular System	7.82E-01	3.85E-02	NaN	UBE2C,UBE2S,UBE2T	
mRNA Editing	7.8E-01	1E-01	NaN	APOBEC3B	
